ISBN / ASIN (Amazon ID),Link,Acquired Date,RelationshipSubtype,RelationshipType,Format,Title,Pages,Listening Length,Genres,Subgenres,Series Position,Series,(First) Author,All Authors
0898708109,https://www.amazon.com/dp/0898708109,24-Jun-05,Purchase,item_owner,Paperback,A Pilgrim's Journey,204,,Christian Books & Bibles,Catholicism | Christian Living,,,"(Saint), Ignatius of Loyola","Ignatius of Loyola (Saint), Joseph N Tylenda"
B07378P8W6,https://www.amazon.com/dp/B07378P8W6,26-Aug-20,Purchase,item_owner,Kindle eBook,Learn Python 3 the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),319,,Computers & Technology,,,,"A., Shaw Zed",Shaw Zed A.
B00FGUS948,https://www.amazon.com/dp/B00FGUS948,25-Aug-20,PublicLibraryLending,item_owner,Kindle eBook,Learn Python the Hard Way: A Very Simple Introduction to the Terrifyingly Beautiful World of Computers and Code (Zed Shaw's Hard Way Series),308,,Computers & Technology,,,,"A., Shaw Zed",Shaw Zed A.
B007ZHV5NM,https://www.amazon.com/dp/B007ZHV5NM,18-May-12,Purchase,item_owner,Kindle eBook,"The Documents of Vatican II With Notes and Comments by Catholic, Protestant, and Orthodox Authorities",1237,,Christian Books & Bibles,Theology | Catholicism,,,"Abbott, Walter M.","Walter M. Abbott, Lawrence Shehan, Joseph Gallagher"
B0BQGKNHW1,https://www.amazon.com/dp/B0BQGKNHW1,3-Feb-24,PublicLibraryLending,item_owner,Kindle eBook,Feel-Good Productivity: How to Do More of What Matters to You,292,,Business & Money | Self-Help,,,,"Abdaal, Ali",Ali Abdaal
B0041T586W,https://www.amazon.com/dp/B0041T586W,28-Jan-17,KOLL,item_owner,Kindle eBook,The Zookeeper's Wife: A War Story,369,,History,Europe | World,,,"Ackerman, Diane",Diane Ackerman
B019C9K202,https://www.amazon.com/dp/B019C9K202,24-Oct-22,Purchase,item_owner,Kindle eBook,Research Methods for Business and Social Science Students,304,,Politics & Social Sciences | Business & Money | Science & Math,Management & Leadership,,,"Adams, John","John Adams, Hafiz T A Khan, Robert Raeside"
B00A9ET4MC,https://www.amazon.com/dp/B00A9ET4MC,18-Jan-16,Purchase,item_owner,Kindle eBook,Americanah: A novel (Ala Notable Books for Adults),610,,Literature & Fiction,Genre Fiction,,,"Adichie, Chimamanda Ngozi",Chimamanda Ngozi Adichie
B09QH12Y6G,https://www.amazon.com/dp/B09QH12Y6G,3-Sep-23,Purchase,item_owner,Kindle eBook,Tales of the Holy Mysticat: Jewish Wisdom Stories by a Feline Mystic,160,,Religion & Spirituality,Judaism,,,"Adler, Rachel",Rachel Adler
B002RKRJFK,https://www.amazon.com/dp/B002RKRJFK,14-Jun-11,Sharing,item_owner,Kindle eBook,Aesop's Fables Translated by George Fyler Townsend,163,,Literature & Fiction,,,,Aesop,Aesop
B06WVYW33Y,https://www.amazon.com/dp/B06WVYW33Y,8-Oct-20,Purchase,item_owner,Kindle eBook,"How to Take Smart Notes: One Simple Technique to Boost Writing, Learning and Thinking – for Students, Academics and Nonfiction Book Writers",178,,Self-Help | Reference,"Writing, Research & Publishing Guides",,,"Ahrens, Sönke",Sönke Ahrens
B01LXK1HBB,https://www.amazon.com/dp/B01LXK1HBB,3-Jan-22,PublicLibraryLending,item_owner,Kindle eBook,American War,332,,Literature & Fiction | Science Fiction & Fantasy,Genre Fiction | Science Fiction,,,"Akkad, Omar El",Omar El Akkad
B01N7S5B60,https://www.amazon.com/dp/B01N7S5B60,3-Jan-22,Purchase,item_owner,Audible Audiobook,American War: A Novel,,12 hours and 22 minutes,Literature & Fiction | Science Fiction & Fantasy,Genre Fiction | Science Fiction,,,"Akkad, Omar El","Omar El Akkad, Dion Graham, Random House Audio"
B01IN98QH8,https://www.amazon.com/dp/B01IN98QH8,18-Feb-17,Purchase,item_owner,Kindle eBook,The Islamic Jesus: How the King of the Jews Became a Prophet of the Muslims,289,,Christian Books & Bibles | History | Religion & Spirituality,World | Islam | Judaism,,,"Akyol, Mustafa",Mustafa Akyol
B0BVGJPVPL,https://www.amazon.com/dp/B0BVGJPVPL,9-Jan-24,Purchase,item_owner,Audible Audiobook,"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",,18 hours and 16 minutes,Christian Books & Bibles | History,World,,,"Alberta, Tim","Tim Alberta, HarperAudio"
B0BTYWH2YP,https://www.amazon.com/dp/B0BTYWH2YP,4-Jan-24,PublicLibraryLending,item_owner,Kindle eBook,"The Kingdom, the Power, and the Glory: American Evangelicals in an Age of Extremism",506,,Christian Books & Bibles | History,World,,,"Alberta, Tim",Tim Alberta
B005K01VZS,https://www.amazon.com/dp/B005K01VZS,24-Nov-11,Purchase,item_owner,Kindle eBook,Have a Little Faith: A True Story,267,,Religion & Spirituality | Biographies & Memoirs | Self-Help,Leaders & Notable People | Personal Transformation,,,"Albom, Mitch",Mitch Albom
B000FCKCJC,https://www.amazon.com/dp/B000FCKCJC,17-Jun-19,Sharing,item_owner,Kindle eBook,"Heaven: A Comprehensive Guide to Everything the Bible Says About Our Eternal Home (Clear Answers to 44 Real Questions About the Afterlife, Angels, Resurrection, ... and the Kingdom of God) (Alcorn, Randy)",778,,Christian Books & Bibles,Theology | Christian Living,,,"Alcorn, Randy",Randy Alcorn
B0067NCQVU,https://www.amazon.com/dp/B0067NCQVU,9-Jul-16,Purchase,item_owner,Kindle eBook,The New Jim Crow,378,,Politics & Social Sciences,Social Sciences | Politics & Government,,,"Alexander, Michelle","Michelle Alexander, Cornel West"
B003GIRIUI,https://www.amazon.com/dp/B003GIRIUI,31-Oct-10,Purchase,item_owner,Kindle eBook,The Divine Comedy,550,,Literature & Fiction,History & Criticism,,,"Alighieri, Dante","Dante Alighieri, Henry Wadsworth Longfellow"
B003T0G9GM,https://www.amazon.com/dp/B003T0G9GM,26-Feb-20,PublicLibraryLending,item_owner,Kindle eBook,Rules for Radicals: A Pragmatic Primer for Realistic Radicals,226,,Politics & Social Sciences,Politics & Government,,,"Alinsky, Saul D.",Saul D. Alinsky
B002VD6NIW,https://www.amazon.com/dp/B002VD6NIW,16-Sep-12,Purchase,item_owner,Kindle eBook,The Future Church: How Ten Trends are Revolutionizing the Catholic Church,482,,Christian Books & Bibles,Catholicism | Christian Living,,,"Allen Jr, John L.",John L. Allen Jr
B000WH7PKY,https://www.amazon.com/dp/B000WH7PKY,20-Sep-13,Purchase,item_owner,Kindle eBook,Getting Things Done: The Art of Stress-Free Productivity,242,,Business & Money | Self-Help,Personal Transformation | Job Hunting & Careers | Management & Leadership,,,"Allen, David",David Allen
B00C8S9YYK,https://www.amazon.com/dp/B00C8S9YYK,1-Oct-13,Purchase,item_owner,Kindle eBook,The Global War on Christians: Dispatches from the Front Lines of Anti-Christian Persecution,322,,Christian Books & Bibles,Catholicism | Christian Living,,,"Allen, John L.",John L. Allen
B0045Y238O,https://www.amazon.com/dp/B0045Y238O,26-Feb-11,Purchase,item_owner,Kindle eBook,The Book of Psalms: A Translation with Commentary,722,,Christian Books & Bibles,,,,"Alter, Robert",Robert Alter
B003IEJZXS,https://www.amazon.com/dp/B003IEJZXS,29-Mar-13,Purchase,item_owner,Kindle eBook,How Learning Works: Seven Research-Based Principles for Smart Teaching,341,,Education & Teaching,Schools & Teaching,,,"Ambrose, Susan A.","Susan A. Ambrose, Michael W. Bridges, Michele DiPietro, Marsha C. Lovett, Marie K. Norman, Richard E. Mayer"
0939144328,https://www.amazon.com/dp/0939144328,20-Jul-09,Purchase,item_owner,Paperback,Prayerbook Hebrew the Easy Way,312,,Religion & Spirituality,,,,"Anderson, Joseph","Joseph Anderson, Linda Motzkin, Jonathan Rubinstein, Laurence Wiseman"
B01AW25FPU,https://www.amazon.com/dp/B01AW25FPU,12-Aug-16,Sharing,item_owner,Kindle eBook,Tier One (Tier One Thrillers Book 1),401,,"Literature & Fiction | Mystery, Thriller & Suspense",Genre Fiction | Thrillers & Suspense,1,Tier One Thrillers,"Andrews, Brian","Brian Andrews, Jeffrey Wilson"
B07PCMC9Z9,https://www.amazon.com/dp/B07PCMC9Z9,30-Mar-20,Sharing,item_owner,Kindle eBook,Home Work: A Memoir of My Hollywood Years,353,,Biographies & Memoirs | Humor & Entertainment,Arts & Literature | Community & Culture,,,"Andrews, Julie",Julie Andrews
B0013TTKWQ,https://www.amazon.com/dp/B0013TTKWQ,29-Oct-21,Sharing,item_owner,Kindle eBook,Home: A Memoir of My Early Years,340,,Biographies & Memoirs,Arts & Literature | Community & Culture,,,"Andrews, Julie",Julie Andrews
B00FCQW7HG,https://www.amazon.com/dp/B00FCQW7HG,3-Sep-15,Purchase,item_owner,Kindle eBook,"Dragnet Nation: A Quest for Privacy, Security, and Freedom in a World of Relentless Surveillance",316,,Politics & Social Sciences | Computers & Technology,Social Sciences | Politics & Government,,,"Angwin, Julia",Julia Angwin
B0011YIPVU,https://www.amazon.com/dp/B0011YIPVU,6-May-09,Purchase,item_owner,Kindle eBook,"The Babylonian Talmud, all 20 volumes in one file.",4153,,Religion & Spirituality,,,,anonymous,"anonymous, Michael L. Rodkinson"
B09VZHYJG2,https://www.amazon.com/dp/B09VZHYJG2,7-Apr-23,Purchase,item_owner,Kindle eBook,"The Choice: A Novel of Love, Faith, and Talmud",570,,Literature & Fiction,Genre Fiction,,,"Anton, Maggie",Maggie Anton
B000UCUX2I,https://www.amazon.com/dp/B000UCUX2I,27-Apr-23,PublicLibraryLending,item_owner,Kindle eBook,"Rashi's Daughters, Book I: Joheved: A Novel of Love and the Talmud in Medieval France (Rashi's Daughters Series 1)",388,,Literature & Fiction,Genre Fiction,1,Rashi's Daughters,"Anton, Maggie",Maggie Anton
B000UMAEKE,https://www.amazon.com/dp/B000UMAEKE,26-May-23,PublicLibraryLending,item_owner,Kindle eBook,"Rashi's Daughters, Book II: Miriam: A Novel of Love and the Talmud in Medieval France",497,,Literature & Fiction,Genre Fiction,2,Rashi's Daughters,"Anton, Maggie",Maggie Anton
B00142GAHA,https://www.amazon.com/dp/B00142GAHA,6-May-09,Purchase,item_owner,Kindle eBook,"Summa Theologica, all three parts in a single file, with active table of contents, improved 8/19/2010",,,Christian Books & Bibles,Theology,,,"Aquinas, Saint Thomas",Saint Thomas Aquinas
B00X2FDZKW,https://www.amazon.com/dp/B00X2FDZKW,30-Dec-17,Purchase,item_owner,Kindle eBook,The Bear and the Nightingale: A Novel (Winternight Trilogy Book 1),338,,Literature & Fiction | Science Fiction & Fantasy,,1,Winternight Trilogy,"Arden, Katherine",Katherine Arden
B06X3TL4YD,https://www.amazon.com/dp/B06X3TL4YD,14-Feb-23,PublicLibraryLending,item_owner,Kindle eBook,The Girl in the Tower: A Novel (Winternight Trilogy Book 2),402,,Literature & Fiction | Science Fiction & Fantasy | Teen & Young Adult,Science Fiction & Fantasy,2,Winternight Trilogy,"Arden, Katherine",Katherine Arden
B077LT812J,https://www.amazon.com/dp/B077LT812J,6-Mar-23,PublicLibraryLending,item_owner,Kindle eBook,The Winter of the Witch: A Novel (Winternight Trilogy Book 3),386,,Literature & Fiction | Science Fiction & Fantasy,,3,Winternight Trilogy,"Arden, Katherine",Katherine Arden
B006C58CMA,https://www.amazon.com/dp/B006C58CMA,13-Mar-14,Purchase,item_owner,Kindle eBook,My Boyfriend Merlin (My Merlin Series Book 1),298,,Teen & Young Adult,Science Fiction & Fantasy,1,My Merlin Series,"Ardis, Priya",Priya Ardis
B008BBG7VG,https://www.amazon.com/dp/B008BBG7VG,14-Mar-14,Purchase,item_owner,Kindle eBook,My Merlin Awakening (My Merlin Series Book 2),326,,Teen & Young Adult,Science Fiction & Fantasy,2,My Merlin Series,"Ardis, Priya",Priya Ardis
B009PZYTHG,https://www.amazon.com/dp/B009PZYTHG,14-Mar-14,Purchase,item_owner,Kindle eBook,Ever My Merlin (My Merlin Series Book 3),374,,Teen & Young Adult | Children's Books,,3,My Merlin Series,"Ardis, Priya",Priya Ardis
B0096RI0OG,https://www.amazon.com/dp/B0096RI0OG,19-Sep-12,Purchase,item_owner,Kindle eBook,"Tips On Prayer: A Quickstart Guide To Improving Your Prayer Life, 2nd Edition",73,,Christian Books & Bibles | Religion & Spirituality,Christian Living,,,"Arnold, John",John Arnold
B004LE9ILS,https://www.amazon.com/dp/B004LE9ILS,19-Mar-12,Purchase,item_owner,Kindle eBook,Academically Adrift: Limited Learning on College Campuses,330,,Education & Teaching,Schools & Teaching,,,"Arum, Richard","Richard Arum, Josipa Roksa"
B000FBFO6Y,https://www.amazon.com/dp/B000FBFO6Y,1-Mar-17,Purchase,item_owner,Kindle eBook,Lord of Snow and Shadows (The Tears of Artamon Book 1),608,,Literature & Fiction | Science Fiction & Fantasy,,1,The Tears of Artamon,"Ash, Sarah",Sarah Ash
B004089I5Q,https://www.amazon.com/dp/B004089I5Q,20-Mar-17,Purchase,item_owner,Kindle eBook,"The Magic Lantern: The Revolution of '89 Witnessed in Warsaw, Budapest, Berlin, and Prague",172,,Politics & Social Sciences | History,Europe | Politics & Government,,,"Ash, Timothy Garton",Timothy Garton Ash
B087F44LSV,https://www.amazon.com/dp/B087F44LSV,21-Jul-21,KindleUnlimited,item_owner,Kindle eBook,A Testament of Steel: An Anchored Worlds Novel (Instrument of Omens Book 1),471,,Literature & Fiction | Science Fiction & Fantasy,,1,Instrument of Omens,"Ashura, Davis",Davis Ashura
B000FC1PWA,https://www.amazon.com/dp/B000FC1PWA,19-Sep-23,PublicLibraryLending,item_owner,Kindle eBook,Foundation,255,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,1,Foundation,"Asimov, Isaac",Isaac Asimov
B000FC1PWK,https://www.amazon.com/dp/B000FC1PWK,28-Sep-23,PublicLibraryLending,item_owner,Kindle eBook,Foundation and Empire,320,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction | Fantasy,2,Foundation,"Asimov, Isaac",Isaac Asimov
B000FC1PWU,https://www.amazon.com/dp/B000FC1PWU,12-Oct-23,PublicLibraryLending,item_owner,Kindle eBook,Second Foundation,304,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction | Fantasy,3,Foundation,"Asimov, Isaac",Isaac Asimov
B003EY7JC6,https://www.amazon.com/dp/B003EY7JC6,23-Nov-23,PublicLibraryLending,item_owner,Kindle eBook,Foundation's Edge,398,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,4,Foundation,"Asimov, Isaac",Isaac Asimov
B003EY7IHM,https://www.amazon.com/dp/B003EY7IHM,9-Dec-23,PublicLibraryLending,item_owner,Kindle eBook,Foundation and Earth,423,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,5,Foundation,"Asimov, Isaac",Isaac Asimov
B003EY7JH6,https://www.amazon.com/dp/B003EY7JH6,6-Jan-24,PublicLibraryLending,item_owner,Kindle eBook,Prelude to Foundation,405,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,6,Foundation,"Asimov, Isaac",Isaac Asimov
B003EY7ICW,https://www.amazon.com/dp/B003EY7ICW,22-Jan-24,PublicLibraryLending,item_owner,Kindle eBook,Forward the Foundation,359,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction | Fantasy,7,Foundation,"Asimov, Isaac",Isaac Asimov
B08GJZSFP6,https://www.amazon.com/dp/B08GJZSFP6,1-Apr-24,Purchase,item_owner,Kindle eBook,"The Stars, Like Dust (Galactic Empire Book 1)",243,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,1,Galactic Empire,"Asimov, Isaac",Isaac Asimov
B08GK12F2P,https://www.amazon.com/dp/B08GK12F2P,7-Apr-24,Purchase,item_owner,Kindle eBook,The Currents of Space (Galactic Empire Book 2),242,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,2,Galactic Empire,"Asimov, Isaac",Isaac Asimov
B08GK17BXQ,https://www.amazon.com/dp/B08GK17BXQ,13-Apr-24,PublicLibraryLending,item_owner,Kindle eBook,Pebble in the Sky (Galactic Empire Book 3),246,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,3,Galactic Empire,"Asimov, Isaac",Isaac Asimov
B000FC1PW0,https://www.amazon.com/dp/B000FC1PW0,4-Feb-24,PublicLibraryLending,item_owner,Kindle eBook,"I, Robot (The Robot Series)",304,,Literature & Fiction | Science Fiction & Fantasy,Genre Fiction | Science Fiction | Fantasy,,The Robot,"Asimov, Isaac",Isaac Asimov
B004JHYRAO,https://www.amazon.com/dp/B004JHYRAO,3-Mar-24,PublicLibraryLending,item_owner,Kindle eBook,The Caves of Steel (The Robot Series Book 1),272,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction | Fantasy,1,The Robot,"Asimov, Isaac",Isaac Asimov
B004JHYRDQ,https://www.amazon.com/dp/B004JHYRDQ,11-Mar-24,PublicLibraryLending,item_owner,Kindle eBook,The Naked Sun (The Robot Series Book 2),257,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction,2,The Robot,"Asimov, Isaac",Isaac Asimov
B0024NP57Y,https://www.amazon.com/dp/B0024NP57Y,18-Mar-24,PublicLibraryLending,item_owner,Kindle eBook,The Robots of Dawn (The Robot Series Book 3),487,,Literature & Fiction | Science Fiction & Fantasy,Science Fiction | Fantasy,3,The Robot,"Asimov, Isaac",Isaac Asimov
B0036S4EAU,https://www.amazon.com/dp/B0036S4EAU,24-Apr-17,Purchase,item_owner,Kindle eBook,Beyond Fundamentalism: Confronting Religious Extremism in the Age of Globalization,240,,History | Religion & Spirituality,World | Religious Studies | Islam,,,"Aslan, Reza",Reza Aslan
B004SOQ0U8,https://www.amazon.com/dp/B004SOQ0U8,2-Aug-13,Purchase,item_owner,Kindle eBook,"No god but God (Updated Edition): The Origins, Evolution, and Future of Islam",442,,History | Religion & Spirituality,World | Religious Studies | Islam,,,"Aslan, Reza",Reza Aslan
B00BRUQ7ZY,https://www.amazon.com/dp/B00BRUQ7ZY,3-Sep-13,PublicLibraryLending,item_owner,Kindle eBook,Zealot: The Life and Times of Jesus of Nazareth,335,,Christian Books & Bibles | History,Theology,,,"Aslan, Reza",Reza Aslan
B000P2A3YQ,https://www.amazon.com/dp/B000P2A3YQ,30-Jun-13,Purchase,item_owner,Kindle eBook,Bono,348,,Biographies & Memoirs | Arts & Photography,Arts & Literature,,,"Assayas, Michka",Michka Assayas
B008TUQ60G,https://www.amazon.com/dp/B008TUQ60G,15-May-15,PublicLibraryLending,item_owner,Kindle eBook,Life After Life: A Novel,512,,"Literature & Fiction | Mystery, Thriller & Suspense",Mystery | Genre Fiction | Thrillers & Suspense,1,Todd Family,"Atkinson, Kate",Kate Atkinson
B008X6SZ0K,https://www.amazon.com/dp/B008X6SZ0K,8-Jan-17,KindleUnlimited,item_owner,Audible Audiobook,The Handmaid's Tale,,11 hours and 1 minute,Literature & Fiction,History & Criticism,1,The Handmaid's Tale,"Atwood, Margaret","Margaret Atwood, Claire Danes, Audible Studios"
B003JFJHTS,https://www.amazon.com/dp/B003JFJHTS,8-Jan-17,KindleUnlimited,item_owner,Kindle eBook,The Handmaid's Tale,325,,Literature & Fiction,History & Criticism,1,The Handmaid's Tale,"Atwood, Margaret",Margaret Atwood
B07KVLPYDQ,https://www.amazon.com/dp/B07KVLPYDQ,3-Sep-19,Purchase,item_owner,Kindle eBook,The Testaments: A Novel,381,,Literature & Fiction | Science Fiction & Fantasy,History & Criticism | Science Fiction,2,The Handmaid's Tale,"Atwood, Margaret",Margaret Atwood
B018ZJHO24,https://www.amazon.com/dp/B018ZJHO24,8-Aug-17,KindleUnlimited,item_owner,Kindle eBook,Landfall: The Ship Series // Book One,341,,Science Fiction & Fantasy,Science Fiction,,,"Aubin, Jerry",Jerry Aubin
B00RMC497Y,https://www.amazon.com/dp/B00RMC497Y,8-Feb-16,Purchase,item_owner,Kindle eBook,Unhappenings,370,,Science Fiction & Fantasy,Science Fiction,,,"Aubry, Edward",Edward Aubry
B00JSRY890,https://www.amazon.com/dp/B00JSRY890,11-Nov-14,Purchase,item_owner,Kindle eBook,Democratic Authority and the Separation of Church and State,194,,Politics & Social Sciences,Philosophy,,,"Audi, Robert",Robert Audi
B0054SLCOQ,https://www.amazon.com/dp/B0054SLCOQ,18-Jun-11,Purchase,item_owner,Kindle eBook,Catholic New American Bible Revised Edition,9419,,Christian Books & Bibles,Catholicism,,,"Authors, Various","Various Authors, United States Catholic Conference of Bishops"
B001970HQU,https://www.amazon.com/dp/B001970HQU,26-Sep-12,Purchase,item_owner,Kindle eBook,Zen To Done: The Ultimate Simple Productivity System,91,,Self-Help,Personal Transformation,,,"Babauta, Leo",Leo Babauta
B0015DWNMY,https://www.amazon.com/dp/B0015DWNMY,16-Mar-17,Purchase,item_owner,Kindle eBook,Deer Hunting with Jesus: Dispatches from America's Class War,290,,Politics & Social Sciences,Social Sciences | Politics & Government,,,"Bageant, Joe",Joe Bageant
B01ER6LJFM,https://www.amazon.com/dp/B01ER6LJFM,10-Jan-17,Sharing,item_owner,Kindle eBook,Three Days in January: Dwight Eisenhower's Final Mission (Three Days Series),367,,History | Biographies & Memoirs,Leaders & Notable People | World | Americas,,Three Days,"Baier, Bret","Bret Baier, Catherine Whitney"
B001TKD4NA,https://www.amazon.com/dp/B001TKD4NA,16-Mar-15,Sharing,item_owner,Kindle eBook,Bike Repair and Maintenance For Dummies,529,,Sports & Outdoors | Engineering & Transportation,,,,"Bailey, Dennis","Dennis Bailey, Keith Gates"
B00QXR0NH4,https://www.amazon.com/dp/B00QXR0NH4,31-Dec-20,Sharing,item_owner,Kindle eBook,The Good Shepherd: A Thousand-Year Journey from Psalm 23 to the New Testament,289,,Christian Books & Bibles,,,,"Bailey, Kenneth E.",Kenneth E. Bailey
B07YKTYZJ6,https://www.amazon.com/dp/B07YKTYZJ6,5-May-20,Sharing,item_owner,Kindle eBook,Legacy of Lies: A Legal Thriller (Bocephus Haynes Book 1),329,,"Mystery, Thriller & Suspense",Thrillers & Suspense,1,Bocephus Haynes,"Bailey, Robert",Robert Bailey
B09DYFQPNX,https://www.amazon.com/dp/B09DYFQPNX,15-Aug-22,Sharing,item_owner,Kindle eBook,Rich Blood (Jason Rich Book 1),379,,"Literature & Fiction | Mystery, Thriller & Suspense",Genre Fiction | Thrillers & Suspense,1,Jason Rich,"Bailey, Robert",Robert Bailey
B008L42UJ6,https://www.amazon.com/dp/B008L42UJ6,29-Apr-13,Purchase,item_owner,Kindle eBook,What the Best College Students Do,300,,Business & Money | Education & Teaching,Schools & Teaching,,,"Bain, Ken",Ken Bain
B076942SK4,https://www.amazon.com/dp/B076942SK4,29-Oct-21,Sharing,item_owner,Kindle eBook,"Love, Lucy (Berkley Boulevard Celebrity Autobiography)",286,,Biographies & Memoirs,Leaders & Notable People | Arts & Literature | Community & Culture,,,"Ball, Lucille",Lucille Ball
B00CQYAW92,https://www.amazon.com/dp/B00CQYAW92,1-Aug-16,Purchase,item_owner,Kindle eBook,Once We Were Brothers: A Novel (Liam Taggart and Catherine Lockhart Book 1),402,,"Literature & Fiction | Mystery, Thriller & Suspense",Mystery | Genre Fiction | Thrillers & Suspense,1,Liam Taggart and Catherine Lockhart,"Balson, Ronald H.",Ronald H. Balson
B006TMWPSS,https://www.amazon.com/dp/B006TMWPSS,3-Jun-12,Purchase,item_owner,Kindle eBook,Butler's Lives of the Saints,406,,Christian Books & Bibles,Catholicism | Christian Living,,,"Bangley, Bernard","Bernard Bangley, Fr. Alban Butler"
B017Y9MBI8,https://www.amazon.com/dp/B017Y9MBI8,7-Aug-17,KindleUnlimited,item_owner,Kindle eBook,Code Breakers Complete Series: Books 1-4,1136,,Science Fiction & Fantasy,Science Fiction,,,"Barnes, Colin F.",Colin F. Barnes
0824517539,https://www.amazon.com/dp/0824517539,24-Dec-11,Purchase,item_owner,Paperback,And Now I See . . .: A Theology of Transformation,296,,Christian Books & Bibles,Theology | Catholicism,,,"Barron, Robert",Robert Barron
B005XR2H5G,https://www.amazon.com/dp/B005XR2H5G,9-Mar-13,Purchase,item_owner,Kindle eBook,Catholicism (Enhanced Edition): A Journey to the Heart of the Faith,306,,Christian Books & Bibles,Theology | Catholicism,,,"Barron, Robert",Robert Barron
B00ULMY8CI,https://www.amazon.com/dp/B00ULMY8CI,26-Nov-16,Purchase,item_owner,Kindle eBook,Seeds of the Word: Finding God in the Culture,288,,Christian Books & Bibles,Theology | Catholicism | Christian Living,,,"Barron, Robert",Robert Barron
B00911YF0A,https://www.amazon.com/dp/B00911YF0A,10-Mar-13,Purchase,item_owner,Kindle eBook,The Strangest Way: Walking the Christian Path,180,,Christian Books & Bibles,Catholicism | Christian Living,,,"Barron, Robert",Robert Barron
B004R1Q642,https://www.amazon.com/dp/B004R1Q642,22-Apr-17,KindleUnlimited,item_owner,Kindle eBook,Personal Kanban: Mapping Work | Navigating Life,218,,Business & Money | Self-Help,Management & Leadership,,,"Barry, Tonianne DeMaria","Tonianne DeMaria Barry, Jim Benson"
B001T4YTNA,https://www.amazon.com/dp/B001T4YTNA,14-Jan-14,Purchase,item_owner,Kindle eBook,A Friendship Like No Other: Experiencing God's Amazing Embrace,224,,Christian Books & Bibles | Religion & Spirituality,Christian Living,,,"Barry, William A.",William A. Barry
B004NSULIG,https://www.amazon.com/dp/B004NSULIG,14-Jan-14,Purchase,item_owner,Kindle eBook,"Changed Heart, Changed World: The Transforming Freedom of Friendship with God",208,,Christian Books & Bibles | Religion & Spirituality,Catholicism | Christian Living,,,"Barry, William A.",William A. Barry
B002W8QX2W,https://www.amazon.com/dp/B002W8QX2W,18-Jan-13,Purchase,item_owner,Kindle eBook,Finding God in All Things: A Companion to the Spiritual Exercises of St. Ignatius: Companion to the Spiritual Exercises of St.Ignatius,148,,Christian Books & Bibles | Religion & Spirituality,Catholicism | Christian Living,,,"Barry, William A.",William A. Barry
B001EO6YVA,https://www.amazon.com/dp/B001EO6YVA,13-Jun-17,Purchase,item_owner,Kindle eBook,Paying Attention to God: Discernment in Prayer,128,,Christian Books & Bibles | Religion & Spirituality,Christian Living,,,"Barry, William A.",William A. Barry
B0078X3234,https://www.amazon.com/dp/B0078X3234,18-Jan-13,Purchase,item_owner,Kindle eBook,Praying the Truth: Deepening Your Friendship with God through Honest Prayer,117,,Christian Books & Bibles | Religion & Spirituality,Catholicism | Christian Living,,,"Barry, William A.",William A. Barry
B07KF46YBG,https://www.amazon.com/dp/B07KF46YBG,3-Jul-19,Sharing,item_owner,Kindle eBook,Forgotten Bones (Dead Remaining Book 1),298,,"Mystery, Thriller & Suspense",Mystery | Thrillers & Suspense,1,Dead Remaining,"Barz, Vivian",Vivian Barz
B005UQCYGC,https://www.amazon.com/dp/B005UQCYGC,14-Dec-15,Purchase,item_owner,Kindle eBook,"Engaging Ideas: The Professor's Guide to Integrating Writing, Critical Thinking, and Active Learning in the Classroom",548,,Education & Teaching | Reference,"Words, Language & Grammar | Schools & Teaching",,,"Bean, John C.","John C. Bean, Maryellen Weimer"
B079H3FWHC,https://www.amazon.com/dp/B079H3FWHC,19-Feb-22,Sharing,item_owner,Kindle eBook,Along the Road: How Jesus Used Geography to Tell God's Story,193,,Christian Books & Bibles,Christian Living,,,"Beck, John A.",John A. Beck
B005OVZAKK,https://www.amazon.com/dp/B005OVZAKK,8-Feb-13,Purchase,item_owner,Kindle eBook,Drupal For Dummies,531,,Computers & Technology,Web Development & Design,,,"Beighley, Lynn","Lynn Beighley, Seamus Bellamy"
141295701X,https://www.amazon.com/dp/141295701X,14-May-10,Purchase,item_owner,Paperback,Writing Your Journal Article in Twelve Weeks: A Guide to Academic Publishing Success,376,,Reference,"Writing, Research & Publishing Guides",,,"Belcher, Wendy Laura",Wendy Laura Belcher
